!Plate boundaries by Peter Bird (2003)
>   AF   AN
  -0.4379  -54.8518    AF    AN
  -0.0388  -54.6772    AF    AN
   0.4432  -54.4512    AF    AN
   0.9645  -54.8322    AF    AN
   1.6948  -54.3990    AF    AN
   2.3598  -54.0374    AF    AN
   3.0254  -53.6507    AF    AN
   3.3689  -53.8341    AF    AN
   3.9564  -54.1267    AF    AN
   4.4146  -54.4303    AF    AN
   4.8266  -54.1616    AF    AN
   5.0837  -54.3093    AF    AN
   5.4947  -54.5429    AF    AN
   6.1837  -54.1145    AF    AN
   6.6254  -53.8142    AF    AN
   7.2373  -54.1012    AF    AN
   7.7724  -54.3960    AF    AN
>   AF   AN
   7.7724  -54.3960    AF    AN
   8.2883  -54.0326    AF    AN
   8.7988  -53.6680    AF    AN
   9.4287  -53.2326    AF    AN
   9.9931  -52.7923    AF    AN
  10.5424  -53.0655    AF    AN
  10.9748  -53.3320    AF    AN
  11.7084  -52.7829    AF    AN
  12.2989  -52.3750    AF    AN
  12.8951  -51.9629    AF    AN
  13.2042  -52.1410    AF    AN
  13.7876  -52.4769    AF    AN
  14.4633  -51.9971    AF    AN
  15.1124  -52.3075    AF    AN
  15.4280  -52.0836    AF    AN
  15.8223  -51.7870    AF    AN
  16.9072  -52.1693    AF    AN
  17.8063  -52.4669    AF    AN
  18.5374  -52.7343    AF    AN
  18.7125  -52.5529    AF    AN
  19.9938  -52.8167    AF    AN
  21.2504  -52.9088    AF    AN
  22.5042  -53.0512    AF    AN
  23.0753  -53.0977    AF    AN
  23.0214  -53.2004    AF    AN
  23.8862  -53.3086    AF    AN
  24.6851  -53.4215    AF    AN
  24.8726  -53.3453    AF    AN
>   AN   AF
  32.1258  -46.9998    AN    AF
  31.8654  -47.2011    AN    AF
  31.5885  -47.6822    AN    AF
  31.3065  -48.1627    AN    AF
  31.0081  -48.5871    AN    AF
  30.7046  -49.0106    AN    AF
  30.3617  -49.2155    AN    AF
  30.0060  -49.6108    AN    AF
  29.7115  -49.9335    AN    AF
  29.3431  -50.5070    AN    AF
  28.9688  -51.1373    AN    AF
  28.6054  -51.7716    AN    AF
  28.4027  -52.2771    AN    AF
  28.3122  -52.5400    AN    AF
  28.1108  -52.9037    AN    AF
  27.4795  -52.7708    AN    AF
  27.3704  -52.6730    AN    AF
  27.3221  -52.5472    AN    AF
  26.7131  -52.3780    AN    AF
  26.5129  -52.6201    AN    AF
  26.3382  -53.0650    AN    AF
  26.1809  -53.4288    AN    AF
  25.9869  -53.5818    AN    AF
  25.8614  -53.4799    AN    AF
  25.6475  -53.4100    AN    AF
  25.1797  -53.4441    AN    AF
  24.8726  -53.3453    AN    AF
>   SO   AN
  32.1258  -46.9998    SO    AN
  33.1739  -47.2644    SO    AN
  33.3585  -46.8055    SO    AN
  33.5400  -46.3464    SO    AN
  33.8184  -45.9791    SO    AN
  33.9824  -46.0812    SO    AN
  34.0869  -46.0899    SO    AN
  34.2672  -46.2123    SO    AN
  34.5037  -46.2216    SO    AN
  34.7040  -45.9714    SO    AN
  34.8682  -45.4657    SO    AN
  35.0145  -45.1058    SO    AN
  35.1819  -44.8555    SO    AN
  35.6603  -44.8660    SO    AN
  35.9729  -44.9607    SO    AN
  36.3029  -44.9665    SO    AN
  36.6774  -44.9197    SO    AN
  37.0855  -44.8043    SO    AN
  37.5083  -44.8753    SO    AN
  38.0827  -44.6188    SO    AN
>   SO   AN
  38.0827  -44.6188    SO    AN
  38.1937  -44.4010    SO    AN
  38.3383  -44.0547    SO    AN
  39.0729  -44.1648    SO    AN
  39.2673  -43.7257    SO    AN
  39.4588  -43.2862    SO    AN
  40.5058  -43.4376    SO    AN
  41.5578  -43.5794    SO    AN
  41.6859  -43.1174    SO    AN
  41.8120  -42.6553    SO    AN
  42.4686  -42.7299    SO    AN
  42.5719  -42.2602    SO    AN
  42.6737  -41.7904    SO    AN
  42.7740  -41.3205    SO    AN
  42.8729  -40.8505    SO    AN
  44.0092  -40.9150    SO    AN
  44.0230  -40.6708    SO    AN
  44.6858  -40.6911    SO    AN
  44.7160  -40.3689    SO    AN
  45.3027  -40.3659    SO    AN
  45.3318  -40.1085    SO    AN
  46.0744  -40.1190    SO    AN
  46.1602  -39.4945    SO    AN
  46.2444  -38.8699    SO    AN
  47.1353  -38.7637    SO    AN
  48.0234  -38.6507    SO    AN
  48.0171  -38.4780    SO    AN
  48.6326  -38.0142    SO    AN
  49.0344  -37.9999    SO    AN
  49.0366  -37.7917    SO    AN
  49.9451  -37.7902    SO    AN
  49.9622  -37.5968    SO    AN
  50.8233  -37.5799    SO    AN
  50.8270  -37.4507    SO    AN
  51.5548  -37.4415    SO    AN
  52.2827  -37.4322    SO    AN
  52.3106  -36.7973    SO    AN
  52.3380  -36.1624    SO    AN
  52.9023  -36.1530    SO    AN
  53.4665  -36.1409    SO    AN
  53.4706  -35.5167    SO    AN
  54.2161  -35.3024    SO    AN
  54.2551  -34.5416    SO    AN
  55.2747  -34.5605    SO    AN
  55.3010  -34.2872    SO    AN
  55.6987  -34.2350    SO    AN
  55.7379  -33.6528    SO    AN
  56.4006  -33.6268    SO    AN
  57.0607  -33.5542    SO    AN
  57.0912  -32.8350    SO    AN
  57.1223  -32.3028    SO    AN
  57.1530  -31.7706    SO    AN
  57.8000  -31.7220    SO    AN
  58.4563  -31.6910    SO    AN
  58.5299  -31.0553    SO    AN
  59.1667  -31.0497    SO    AN
  59.1880  -30.5671    SO    AN
  60.0054  -30.5607    SO    AN
  60.7628  -30.5315    SO    AN
  60.7473  -30.0145    SO    AN
  60.7624  -29.9990    SO    AN
  60.7864  -29.4652    SO    AN
  60.8102  -28.9313    SO    AN
  61.5322  -28.9199    SO    AN
  61.5176  -28.7772    SO    AN
  62.1619  -28.8114    SO    AN
  62.1351  -28.4896    SO    AN
  62.7462  -28.4585    SO    AN
  62.7030  -28.1525    SO    AN
  63.2112  -28.1640    SO    AN
  63.1942  -28.0214    SO    AN
  63.6211  -28.0388    SO    AN
  63.6037  -27.8313    SO    AN
  64.4669  -27.8175    SO    AN
  65.3321  -27.8122    SO    AN
  65.3475  -27.5141    SO    AN
  66.3590  -27.5145    SO    AN
  66.3730  -27.2811    SO    AN
  67.1290  -27.2692    SO    AN
  67.1555  -26.8674    SO    AN
  67.4240  -26.8699    SO    AN
  67.4333  -26.5715    SO    AN
  67.9622  -26.5830    SO    AN
  67.9791  -26.2906    SO    AN
  68.6219  -26.2625    SO    AN
  68.5979  -26.1206    SO    AN
  68.8197  -26.1410    SO    AN
  68.8294  -26.0089    SO    AN
  69.1500  -25.9933    SO    AN
  69.1379  -25.7843    SO    AN
  69.4603  -25.7822    SO    AN
  69.4900  -25.6762    SO    AN
  69.9595  -25.6512    SO    AN
>   SO   IN
  58.2392   12.7455    SO    IN
  57.8675   13.0023    SO    IN
  57.6392   13.1377    SO    IN
  57.7327   13.3090    SO    IN
  57.8096   13.4509    SO    IN
  57.6891   13.5225    SO    IN
  57.4775   13.6430    SO    IN
  57.3015   13.7400    SO    IN
  57.2990   13.7718    SO    IN
  57.1397   13.8476    SO    IN
  56.9688   13.9372    SO    IN
  57.0372   14.0681    SO    IN
  56.9031   14.1407    SO    IN
  56.7616   14.2076    SO    IN
  56.8188   14.3021    SO    IN
  56.2652   14.6232    SO    IN
>   AU   SO
  68.2738   -6.8109    AU    SO
  67.8113   -7.2525    AU    SO
  68.0731   -7.6477    AU    SO
  67.6424   -8.0271    AU    SO
  68.0390   -8.4919    AU    SO
  67.5648   -8.8814    AU    SO
  67.0896   -9.2703    AU    SO
  67.3780   -9.6300    AU    SO
  66.9195   -9.9904    AU    SO
  66.4600  -10.3502    AU    SO
  66.7874  -10.7620    AU    SO
  66.1674  -11.2100    AU    SO
  66.4182  -11.5590    AU    SO
  65.6978  -12.0185    AU    SO
  66.0330  -12.4258    AU    SO
  66.3692  -12.8327    AU    SO
  65.8205  -13.2681    AU    SO
  66.2097  -13.7773    AU    SO
  65.9278  -13.9791    AU    SO
  66.2076  -14.3387    AU    SO
  66.4883  -14.6980    AU    SO
  66.8882  -15.2696    AU    SO
  67.2902  -15.8215    AU    SO
  67.3827  -15.9419    AU    SO
  67.0330  -16.1389    AU    SO
  67.4105  -16.6587    AU    SO
  66.7081  -17.0901    AU    SO
  66.1428  -17.4501    AU    SO
  65.5424  -17.7830    AU    SO
  65.0073  -18.0579    AU    SO
  65.2639  -18.4432    AU    SO
  65.5217  -18.8281    AU    SO
  66.0333  -19.5775    AU    SO
  66.4280  -20.0783    AU    SO
  66.7513  -19.8703    AU    SO
  67.0404  -20.2181    AU    SO
  67.3095  -20.0725    AU    SO
  67.5930  -20.3689    AU    SO
  67.7679  -20.2800    AU    SO
  67.8967  -20.4690    AU    SO
  68.2125  -20.2907    AU    SO
  68.5592  -20.7119    AU    SO
  68.2768  -20.8777    AU    SO
  68.6529  -21.4495    AU    SO
  69.2017  -22.0877    AU    SO
  68.7967  -22.3870    AU    SO
  69.1621  -22.8305    AU    SO
  69.5577  -23.3731    AU    SO
  69.8497  -23.7087    AU    SO
  69.4016  -24.0396    AU    SO
  69.6804  -24.3686    AU    SO
  69.9393  -24.6785    AU    SO
  69.5921  -24.9701    AU    SO
  70.0896  -25.4825    AU    SO
  69.9595  -25.6512    AU    SO
>   EU   AF
 -29.7698   39.3996    EU    AF
 -29.3350   39.3150    EU    AF
 -29.2971   39.2554    EU    AF
 -29.2603   39.2502    EU    AF
 -29.1881   39.2786    EU    AF
 -29.1472   39.2937    EU    AF
 -29.0904   39.3232    EU    AF
 -29.0495   39.3382    EU    AF
 -28.9819   39.3656    EU    AF
 -28.9505   39.3789    EU    AF
 -28.8946   39.4120    EU    AF
 -28.8529   39.3725    EU    AF
 -28.7812   39.2993    EU    AF
 -28.7454   39.2626    EU    AF
 -28.6863   39.2144    EU    AF
 -28.6660   39.1790    EU    AF
 -28.6192   39.1208    EU    AF
 -28.5665   39.1299    EU    AF
 -28.4836   39.1558    EU    AF
 -28.4522   39.1339    EU    AF
 -28.4204   39.0927    EU    AF
 -28.3955   39.0580    EU    AF
 -28.3649   39.0204    EU    AF
 -28.3421   38.9931    EU    AF
 -28.2919   38.9394    EU    AF
 -28.2155   38.9524    EU    AF
 -28.1199   38.9685    EU    AF
 -28.0588   38.9827    EU    AF
 -27.9546   39.0041    EU    AF
 -27.7933   38.9998    EU    AF
 -27.7223   38.9416    EU    AF
 -27.6797   38.9136    EU    AF
 -27.6061   38.8635    EU    AF
 -27.5588   38.8363    EU    AF
 -27.4844   38.7824    EU    AF
 -27.2394   38.7796    EU    AF
 -27.2033   38.6999    EU    AF
 -27.1743   38.6658    EU    AF
 -27.1290   38.6070    EU    AF
 -27.0895   38.5706    EU    AF
 -27.0289   38.4911    EU    AF
 -27.0068   38.4635    EU    AF
 -26.9408   38.4003    EU    AF
 -26.9006   38.3601    EU    AF
 -26.8299   38.2782    EU    AF
 -26.7180   38.4202    EU    AF
 -26.6474   38.3576    EU    AF
 -26.6141   38.3240    EU    AF
 -26.5323   38.2554    EU    AF
 -26.4943   38.2225    EU    AF
 -26.4166   38.1493    EU    AF
 -26.3787   38.1164    EU    AF
 -26.3021   38.0468    EU    AF
 -26.1714   38.0360    EU    AF
 -26.0752   37.9655    EU    AF
 -26.0432   37.9355    EU    AF
 -25.9162   37.8386    EU    AF
 -25.8081   37.8783    EU    AF
 -25.7341   37.8159    EU    AF
 -25.6984   37.7902    EU    AF
 -25.6332   37.7225    EU    AF
 -25.5384   37.8181    EU    AF
 -25.4638   37.7517    EU    AF
 -25.4265   37.7185    EU    AF
 -25.3547   37.6633    EU    AF
 -25.2671   37.7692    EU    AF
 -25.1013   37.6463    EU    AF
 -24.9835   37.6441    EU    AF
 -24.9315   37.6091    EU    AF
 -24.8915   37.5839    EU    AF
 -24.8451   37.5519    EU    AF
 -24.8164   37.5328    EU    AF
 -24.7748   37.5001    EU    AF
 -24.7332   37.4673    EU    AF
 -24.6669   37.4110    EU    AF
 -24.7022   37.3519    EU    AF
 -24.7379   37.2733    EU    AF
 -24.7495   37.2174    EU    AF
 -24.6805   37.1267    EU    AF
 -24.6345   37.0946    EU    AF
 -24.5541   37.0172    EU    AF
 -24.5002   36.9707    EU    AF
 -24.4337   36.9105    EU    AF
 -24.3846   36.8633    EU    AF
 -24.3111   36.7925    EU    AF
 -24.2554   36.7810    EU    AF
 -24.1461   36.7885    EU    AF
 -24.0456   36.7548    EU    AF
 -23.5697   36.6459    EU    AF
 -22.8933   36.7020    EU    AF
 -22.2160   36.7543    EU    AF
 -21.5072   36.8197    EU    AF
 -20.7973   36.8809    EU    AF
 -20.2403   36.9543    EU    AF
 -19.6823   37.0251    EU    AF
 -18.6180   37.3070    EU    AF
 -18.1244   37.4657    EU    AF
 -17.5843   37.5034    EU    AF
 -16.7420   37.4354    EU    AF
 -15.8415   37.2966    EU    AF
 -15.3865   37.2117    EU    AF
 -15.1427   37.0206    EU    AF
 -14.4109   37.2101    EU    AF
 -13.6754   37.3950    EU    AF
 -12.9035   36.8638    EU    AF
 -12.1424   36.3276    EU    AF
 -11.5854   35.8512    EU    AF
 -10.9233   36.0984    EU    AF
 -10.4287   36.3916    EU    AF
  -9.9769   36.6514    EU    AF
  -9.5452   36.4296    EU    AF
  -8.7845   36.0509    EU    AF
  -8.0312   35.6675    EU    AF
  -7.1926   35.2729    EU    AF
  -6.7303   35.0633    EU    AF
  -6.0637   34.7839    EU    AF
  -6.0397   34.5174    EU    AF
  -6.0002   34.2634    EU    AF
  -5.8080   34.0191    EU    AF
  -5.3966   33.9850    EU    AF
  -5.0723   34.0783    EU    AF
  -4.7056   34.0681    EU    AF
  -4.0564   34.1993    EU    AF
  -3.7819   35.0136    EU    AF
  -3.7494   35.5962    EU    AF
  -3.2959   35.8577    EU    AF
  -2.8933   36.0184    EU    AF
  -2.5729   36.1053    EU    AF
  -1.9917   35.8985    EU    AF
  -1.5162   35.7709    EU    AF
  -0.7478   35.7757    EU    AF
   0.0030   35.9040    EU    AF
   0.6670   36.0723    EU    AF
   1.2447   36.2823    EU    AF
   1.9702   36.5026    EU    AF
   2.3799   36.5942    EU    AF
   3.4536   36.8509    EU    AF
   4.2965   36.9695    EU    AF
   5.1420   37.0821    EU    AF
   5.9738   37.1540    EU    AF
